R,adult1,adult2,adult3,adult4,adult5,student1,student2,student3,student4,student5,credit100k1,credit100k2,credit100k3,credit100k4,credit100k5,credit1m1,credit1m2,credit1m3,credit1m4,credit1m5
1,-217.3404846,0,-17.85914234,0,0,0,0,-3.211211763,-4.185380187,-1.477483754,-41.71616842,-23.02529539,-48.30643751,-66.00479575,-26.60987536,-83.57587305,-38.31854283,-25.06235334,0,-35.65284725
5,-15.28179838,-63.53833835,-148.5196077,-24.19825428,0,-2.503623107,-3.615124981,-3.825532362,-2.560678078,-2.310498078,-137.7696933,-73.17551092,-70.51168605,-60.24017925,-34.40049355,-77.13688927,-59.92623791,-24.39429719,-60.13109736,-71.14592516
10,-217.3230168,-5.74618222,-207.2930356,-12.00395479,-217.3362077,-3.699163616,-3.966299433,-2.961057131,0,-3.859257286,-64.73091104,-40.04868442,-21.60769195,-77.23268961,-45.82182332,-70.28828961,-38.52371634,-22.23197292,-25.77961236,-77.02263651
20,-2.930880665,-70.58931593,-1.999504234,0,0,-1.887502351,-2.493401622,-1.509930679,0,-0.068505967,-78.01397106,-101.7183253,-18.47638746,-79.78072828,-25.43899834,-10.05034471,-30.04111607,-23.51997689,-92.97535394,-35.91017127
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
