time,adulth1,adulth2,adulth3,adulth4,adulth5,adulth6,adulth7,adulth8,adulth9,adulth10,studenth1,studenth2,studenth3,studenth4,studenth5,studenth6,studenth7,studenth8,studenth9,studenth10,credit100kh1,credit100kh2,credit100kh3,credit100kh4,credit100kh5,credit100kh6,credit100kh7,credit100kh8,credit100kh9,credit100kh10,credit1mh1,credit1mh2,credit1mh3,credit1mh4,credit1mh5,credit1mh6,credit1mh7,credit1mh8,credit1mh9,credit1mh10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,-5.347848584,4.786187599,-4.80618991,0,-220.4850619,0,0,-2.094158557,-0.384374298,-1.023185029,-0.384464309,0,-1.035398068,-2.094094906,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
40,0,0,0,0,-5.347848584,4.786187599,-4.80618991,0,-220.4850619,0,0,-2.094158557,-0.384374298,-1.023185029,-0.384464309,0,-1.035398068,-2.094094906,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
50,0,0,0,0,-5.347848584,4.786187599,-4.80618991,0,-220.4850619,0,0,-2.094158557,-0.384374298,-1.023185029,-0.384464309,0,-1.035398068,-2.094094906,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
60,0,0,0,0,-5.347848584,4.786187599,-4.80618991,0,-220.4850619,0,0,-2.094158557,-0.384374298,-1.023185029,-0.384464309,0,-1.035398068,-2.094094906,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
70,0,0,0,0,-5.347848584,4.786187599,-4.80618991,0,-220.4850619,0,-2.524346178,-4.171993429,0,-3.86738969,-4.039788012,-1.454903493,-2.094082552,-3.955803444,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
80,0,-64.66918453,0,-209.5566268,-29.9890259,-17.25889926,-4.806190025,-6.068119455,-154.7693985,0,-2.524346178,-4.171993429,0,-3.86738969,-4.039788012,-1.454903493,-2.094082552,-3.955803444,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
90,0,-64.66918453,0,-209.5566268,-29.9890259,-17.25889926,-4.806190025,-6.068119455,-154.7693985,0,-2.524346178,-4.171993429,0,-3.86738969,-4.039788012,-1.454903493,-2.094082552,-3.955803444,0,0,-12.11585894,0,-16.41007507,-61.2997548,-22.63502753,0,0,-35.10466348,-97.5326661,0,-29.39702597,-17.55791664,-9.096207657,-24.49673363,0,-31.63664003,-120.4053991,-72.8012688,-22.48833655,-10.08713292
