time,adultr1,adultr2,adultr3,adultr4,adultr5,adulta1,adulta2,adulta3,adulta4,adulta5,studentr1,studentr2,studentr3,studentr4,studentr5,studenta1,studenta2,studenta3,studenta4,studenta5,credit100kr1,credit100kr2,credit100kr3,credit100kr4,credit100kr5,credit100ka1,credit100ka2,credit100ka3,credit100ka4,credit100ka5,credit1mr1,credit1mr2,credit1mr3,credit1mr4,credit1mr5,credit1ma1,credit1ma2,credit1ma3,credit1ma4,credit1ma5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,-4.82,-22.25,0,-0.79,-2.5,-22.9,0,0,0,-2.39,0,0,-2.26,-2.12,-2.09,-1.88,0,0,0,0,0,-88.78,0,-8.16,-43.78,-45.17,0,0,0,0,0,-25.4,-64.25,-17.75,-23.51,0
40,0,0,0,0,-4.82,-22.25,0,-0.79,-218.68,-22.9,0,0,0,-2.39,0,-3.18,-2.26,-2.12,-2.09,-1.88,0,0,-16.02,0,0,-88.78,0,-72.21,-43.78,-45.17,0,0,0,0,0,-25.4,-79.51,-17.75,-37.07,0
50,0,0,0,0,-4.82,-22.25,0,-221.24,-218.68,-22.9,0,0,0,-2.39,0,-3.18,-4.4,-2.12,-2.09,-1.88,0,0,-16.02,0,0,-88.78,0,-72.21,-43.78,-45.17,0,0,0,0,0,-25.4,-79.51,-68.47,-37.07,-24.18
60,0,0,0,0,-4.82,-22.25,-5.6,-221.24,-218.68,-22.9,0,-1.83,0,-2.39,0,-3.18,-4.4,-2.12,-2.09,-1.88,0,0,-16.02,0,0,-88.78,-21.83,-72.21,-43.78,-45.17,0,0,0,0,0,-25.4,-79.51,-68.47,-37.07,-48.27
70,-2.73,0,0,0,-4.82,-149.08,-5.6,-221.24,-218.68,-22.9,0,-1.83,0,-2.39,0,-3.18,-4.4,-2.12,-2.09,-1.88,0,0,-51.8,-21.47,0,-88.78,-31.19,-72.21,-43.78,-45.17,0,0,0,0,-14.13,-25.4,-79.51,-68.47,-37.07,-48.27
80,-4.82,0,0,0,-4.82,-149.08,-5.6,-221.24,-218.68,-22.9,0,-1.83,0,-2.39,0,-3.18,-4.4,-2.12,-2.09,-1.88,0,0,-51.8,-21.47,0,-88.78,-31.19,-72.21,-43.78,-45.17,0,0,0,0,-14.13,-25.4,-79.51,-68.47,-80.84,-48.27
90,-4.82,0,0,0,-4.82,-149.08,-5.6,-221.24,-218.68,-22.9,0,-1.83,0,-2.39,0,-3.18,-4.4,-2.12,-2.09,-1.88,0,0,-51.8,-47.91,0,-88.78,-31.19,-72.21,-43.78,-45.58,-48.16,0,0,0,-40.13,-25.4,-79.51,-68.47,-80.84,-48.27
